Total List of 2022 American Films,,Randomized List of 60,Randomized List of 60 (parsed),Budget,Box Office,RT Score,,,,,
Detective Knight: Redemption,,Doctor Strange in the Multiverse of Madness,Doctor+Strange+in+the+Multiverse+of+Madness,"$200,000,001","$411,331,607",74%,,,,,
Detective Knight: Rogue,,Don't Worry Darling,Don't+Worry+Darling,"$35,000,000","$45,309,403",38%,,,,,
Devotion,,The 355,The+355,"$75,000,000","$14,570,455",24%,,,,,
Diary of a Wimpy Kid: Rodrick Rules,,DC League of Super-Pets,DC+League+of+Super-Pets,"$90,000,000","$93,657,117",73%,,Usable Data,,,
Disenchanted,,Turning Red,Turning+Red,"$190,000,000",N/A,95%,,N/A = No data or not applicable,,,
Do Revenge,,The Adam Project,The+Adam+Project,"$116,000,000",N/A,67%,,,,,
Doctor Strange in the Multiverse of Madness,,Samaritan,Samaritan,"$100,000,000",N/A,38%,,,,,
Dog,,Spirited,Spirited,"$75,000,000",N/A,70%,,,,,
Don't Make Me Go,,The Man from Toronto,The+Man+from+Toronto,"$75,000,000",N/A,23%,,,,,
Don't Worry Darling,,The Pale Blue Eye,The+Pale+Blue+Eye,"$72,000,000",N/A,63%,,,,,
Downton Abbey: A New Era,,Prey,Prey,"$65,000,000",N/A,93%,,,,,
Dual,,Thirteen Lives,Thirteen+Lives,"$55,000,000",N/A,86%,,,,,
Easter Sunday,,Slumberland,Slumberland,"$35,000,000",N/A,40%,,,,,
Elvis,,Guillermo del Toro's Pinocchio,Guillermo+del+Toro's+Pinocchio,"$35,000,000",N/A,29%,,,,,
Emancipation,,Hocus Pocus 2,Hocus+Pocus+2,"$30,000,000",N/A,64%,,,,,
Emergency,,Matilda the Musical,Matilda+the+Musical,"$25,000,000",N/A,92%,,,,,
Emily the Criminal,,Tall Girl 2,Tall+Girl+2,"$24,393,503",N/A,63%,,,,,
Empire of Light,,Blonde,Blonde,"$22,000,000",N/A,42%,,,,,
End of the Road,,Texas Chainsaw Massacre,Texas+Chainsaw+Massacre,"$20,000,000",N/A,31%,,,,,
Enola Holmes 2,,Honor Society,Honor+Society,"$20,000,000",N/A,85%,,,,,
Escape the Field,,All Quiet on the Western Front,All+Quiet+on+the+Western+Front,"$20,000,000",N/A,89%,,,,,
Everything Everywhere All at Once,,Weird: The Al Yankovic Story,Weird:+The+Al+Yankovic+Story,"$12,000,000",N/A,83%,,,,,
Fall,,Anything's Possible,Anything's+Possible,"$10,000,000",N/A,86%,,,,,
Falling for Christmas,,Kimi,Kimi,"$3,500,000",N/A,92%,,,,,
Family Camp,,The Greatest Beer Run Ever,The+Greatest+Beer+Run+Ever,"$2,800,000",N/A,43%,,,,,
Fantastic Beasts: The Secrets of Dumbledore,,He's Watching,He's+Watching,"$500,000",N/A,90%,,,,,
Father of the Bride,,Dashcam,Dashcam,"$100,000",N/A,48%,,,,,
Father Stu,,A Day to Die,A+Day+to+Die,"$98,616",N/A,N/A,,,,,
Fire Island,,The Gray Man,The+Gray+Man,"$200,000,000",N/A,46%,,,,,
Firestarter,,Glass Onion: A Knives Out Mystery,Glass+Onion:+A+Knives+Out+Mystery,"$40,000,000",N/A,92%,,,,,
Fistful of Vengeance,,Paradise City,Paradise+City,"$20,000,000",N/A,8%,,,,,
Flight/Risk,,Apollo 10 1⁄2: A Space Age Childhood,Apollo+10+1⁄2:+A+Space+Age+Childhood,N/A,,,,,,,
Fortress: Sniper's Eye,,Run Sweetheart Run,Run+Sweetheart+Run,N/A,,,,,,,
Fresh,,The School for Good and Evil,The+School+for+Good+and+Evil,N/A,,,,,,,
Funny Pages,,Watcher,Watcher,N/A,,,,,,,
Gasoline Alley,,Umma,Umma,N/A,,,,,,,
Gigi & Nate,,Persuasion,Persuasion,N/A,,,,,,,
Glass Onion: A Knives Out Mystery,,The Noel Diary,The+Noel+Diary,N/A,,,,,,,
God's Country,,South Park The Streaming Wars,South+Park+The+Streaming+Wars,N/A,,,,,,,
God's Creatures,,Escape the Field,Escape+the+Field,N/A,,,,,,,
Gone in the Night,,The Banshees of Inisherin,The+Banshees+of+Inisherin,N/A,,,,,,,
Good Mourning,,"Alice, Darling","Alice,+Darling",N/A,,,,,,,
Good Night Oppy,,Night at the Museum: Kahmunrah Rises Again,Night+at+the+Museum:+Kahmunrah+Rises+Again,N/A,,,,,,,
Goodnight Mommy,,Fortress: Sniper's Eye,Fortress:+Sniper's+Eye,N/A,,,,,,,
Green Ghost and the Masters of the Stone,,Rise,Rise,N/A,,,,,,,
Guillermo del Toro's Pinocchio,,Lamborghini: The Man Behind the Legend,Lamborghini:+The+Man+Behind+the+Legend,N/A,,,,,,,
Halloween Ends,,The Outfit,The+Outfit,N/A,,,,,,,
He's Watching,,Private Property,Private+Property,N/A,,,,,,,
Hellblazers,,My Best Friend's Exorcism,My+Best+Friend's+Exorcism,N/A,,,,,,,
"Hello, Goodbye, and Everything in Between",,The In Between,The+In+Between,N/A,,,,,,,
Hellraiser,,The Legend of La Llorona,The+Legend+of+La+Llorona,N/A,,,,,,,
Hocus Pocus 2,,Causeway,Causeway,N/A,,,,,,,
Holiday Harmony,,Fire Island,Fire+Island,N/A,,,,,,,
Hollywood Stargirl,,After Ever Happy,After+Ever+Happy,N/A,,,,,,,
Home Team,,Aftersun,Aftersun,N/A,,,,,,,
Honk for Jesus. Save Your Soul.,,Christmas with You,Christmas+with+You,N/A,,,,,,,
Honor Society,,Mid-Century,Mid-Century,N/A,,,,,,,
Hot Seat,,A Madea Homecoming,A+Madea+Homecoming,N/A,,,,,,,
Hot Take: The Depp/Heard Trial,,The Independent,The+Independent,N/A,,,,,,,
Hotel Transylvania: Transformania,,Hollywood Stargirl,Hollywood+Stargirl,N/A,,,,,,,
Hustle,,Paradise Highway,Paradise+Highway,N/A,,,,,,,
I Want You Back,,Alone Together,Alone+Together,N/A,,,,,,,
Infinite Storm,,Green Ghost and the Masters of the Stone,Green+Ghost+and+the+Masters+of+the+Stone,N/A,,,,,,,
Interceptor,,Disenchanted,Disenchanted,N/A,,,,,,,
Is That Black Enough for You?!?,,Not Okay,Not+Okay,N/A,,,,,,,
Jackass Forever,,American Siege,American+Siege,N/A,,,,,,,
Jeepers Creepers: Reborn,,Goodnight Mommy,Goodnight+Mommy,N/A,,,,,,,
Jennifer Lopez: Halftime,,Beavis and Butt-Head Do the Universe,Beavis+and+Butt-Head+Do+the+Universe,N/A,,,,,,,
Jerry & Marge Go Large,,Hellblazers,Hellblazers,N/A,,,,,,,
Jurassic World Dominion,,Studio 666,Studio+666,N/A,,,,,,,
Kimi,,One Way,One+Way,N/A,,,,,,,
Lady Chatterley's Lover,,God's Country,God's+Country,N/A,,,,,,,
Lamborghini: The Man Behind the Legend,,Jennifer Lopez: Halftime,Jennifer+Lopez:+Halftime,N/A,,,,,,,
Last Looks,,Dead for a Dollar,Dead+for+a+Dollar,N/A,,,,,,,
Lifemark,,Running the Bases,Running+the+Bases,N/A,,,,,,,
Lightyear,,South Park The Streaming Wars Part 2,South+Park+The+Streaming+Wars+Part+2,N/A,,,,,,,
Lou,,On the Line,On+the+Line,N/A,,,,,,,
Luck,,Polar Bear,Polar+Bear,N/A,,,,,,,
Luckiest Girl Alive,,Home Team,Home+Team,N/A,,,,,,,
"Lyle, Lyle, Crocodile",,Diary of a Wimpy Kid: Rodrick Rules,Diary+of+a+Wimpy+Kid:+Rodrick+Rules,N/A,,,,,,,
Mack & Rita,,Luckiest Girl Alive,Luckiest+Girl+Alive,N/A,,,,,,,
Marcel the Shell with Shoes On,,Corrective Measures,Corrective+Measures,N/A,,,,,,,
Marmaduke,,Last Looks,Last+Looks,N/A,,,,,,,
Marry Me,,Abandoned,Abandoned,N/A,,,,,,,
Master,,Emily the Criminal,Emily+the+Criminal,N/A,,,,,,,
Matilda the Musical,,Bodies Bodies Bodies,Bodies+Bodies+Bodies,N/A,,,,,,,
Me Time,,Armageddon Time,Armageddon+Time,N/A,,,,,,,
Measure of Revenge,,Catherine Called Birdy,Catherine+Called+Birdy,N/A,,,,,,,
Memory,,I Want You Back,I+Want+You+Back,N/A,,,,,,,
Metal Lords,,A Jazzman's Blues,A+Jazzman's+Blues,N/A,,,,,,,
Mid-Century,,Better Nate Than Ever,Better+Nate+Than+Ever,N/A,,,,,,,
Minions: The Rise of Gru,,The Fallout,The+Fallout,N/A,,,,,,,
Montana Story,,The Eternal Daughter,The+Eternal+Daughter,N/A,,,,,,,
Moonage Daydream,,Lady Chatterley's Lover,Lady+Chatterley's+Lover,N/A,,,,,,,
Moonfall,,Montana Story,Montana+Story,N/A,,,,,,,
Moonshot,,"Hello, Goodbye, and Everything in Between","Hello,+Goodbye,+and+Everything+in+Between",N/A,,,,,,,
Morbius,,Fresh,Fresh,N/A,,,,,,,
Mr. Harrigan's Phone,,The Valet,The+Valet,N/A,,,,,,,
Mr. Malcolm's List,,Detective Knight: Rogue,Detective+Knight:+Rogue,N/A,,,,,,,
Mrs. Harris Goes to Paris,,The Wonder,The+Wonder,N/A,,,,,,,
My Best Friend's Exorcism,,The Long Night,The+Long+Night,N/A,,,,,,,
My Father's Dragon,,Choose or Die,Choose+or+Die,N/A,,,,,,,
My Policeman,,They/Them,They/Them,N/A,,,,,,,
Nanny,,The Redeem Team,The+Redeem+Team,N/A,,,,,,,
Night at the Museum: Kahmunrah Rises Again,,Cheaper by the Dozen,Cheaper+by+the+Dozen,N/A,,,,,,,
No Exit,,The Sea Beast,The+Sea+Beast,N/A,,,,,,,
Nope,,The Ice Age Adventures of Buck Wild,The+Ice+Age+Adventures+of+Buck+Wild,N/A,,,,,,,
Not Okay,,Marcel the Shell with Shoes On,Marcel+the+Shell+with+Shoes+On,N/A,,,,,,,
On the Come Up,,Honk for Jesus. Save Your Soul.,Honk+for+Jesus.+Save+Your+Soul.,N/A,,,,,,,
On the Count of Three,,Bitch Ass,Bitch+Ass,N/A,,,,,,,
On the Line,,Where the Crawdads Sing,Where+the+Crawdads+Sing,N/A,,,,,,,
One Way,,Prey for the Devil,Prey+for+the+Devil,N/A,,,,,,,
Operation Mincemeat,,Tyson's Run,Tyson's+Run,N/A,,,,,,,
Orphan: First Kill,,Pinocchio,Pinocchio,N/A,,,,,,,
Paradise City,,Wildcat,Wildcat,N/A,,,,,,,
Paradise Highway,,Rescued by Ruby,Rescued+by+Ruby,N/A,,,,,,,
Paws of Fury: The Legend of Hank,,The Minute You Wake Up Dead,The+Minute+You+Wake+Up+Dead,N/A,,,,,,,
Pearl,,Beast,Beast,N/A,,,,,,,
Persuasion,,The Survivor,The+Survivor,N/A,,,,,,,
Pinocchio,,Spin Me Round,Spin+Me+Round,N/A,,,,,,,
Poker Face,,Rise of the Teenage Mutant Ninja Turtles: The Movie,Rise+of+the+Teenage+Mutant+Ninja+Turtles:+The+Movie,N/A,,,,,,,
Polar Bear,,Good Night Oppy,Good+Night+Oppy,N/A,,,,,,,
Press Play,,Jerry & Marge Go Large,Jerry+&+Marge+Go+Large,N/A,,,,,,,
Prey,,Interceptor,Interceptor,N/A,,,,,,,
Prey for the Devil,,Gone in the Night,Gone+in+the+Night,N/A,,,,,,,
Private Property,,Spiderhead,Spiderhead,N/A,,,,,,,
Puss in Boots: The Last Wish,,Me Time,Me+Time,N/A,,,,,,,
Raymond & Ray,,Lifemark,Lifemark,N/A,,,,,,,
Redeeming Love,,My Policeman,My+Policeman,N/A,,,,,,,
Rescued by Ruby,,Enola Holmes 2,Enola+Holmes+2,N/A,,,,,,,
Resurrection,,The People We Hate at the Wedding,The+People+We+Hate+at+the+Wedding,N/A,,,,,,,
Rise,,Call Jane,Call+Jane,N/A,,,,,,,
Rise of the Teenage Mutant Ninja Turtles: The Movie,,Do Revenge,Do+Revenge,N/A,,,,,,,
Rosaline,,Alice,Alice,N/A,,,,,,,
Run Sweetheart Run,,Poker Face,Poker+Face,N/A,,,,,,,
Running the Bases,,Along for the Ride,Along+for+the+Ride,N/A,,,,,,,
Samaritan,,A Christmas Mystery,A+Christmas+Mystery,N/A,,,,,,,
Scream,,Flight/Risk,Flight/Risk,N/A,,,,,,,
Scrooge: A Christmas Carol,,The Bubble,The+Bubble,N/A,,,,,,,
Secret Headquarters,,Moonshot,Moonshot,N/A,,,,,,,
Section Eight,,Raymond & Ray,Raymond+&+Ray,N/A,,,,,,,
See How They Run,,Rosaline,Rosaline,N/A,,,,,,,
Senior Year,,Falling for Christmas,Falling+for+Christmas,N/A,,,,,,,
Sharp Stick,,Hustle,Hustle,N/A,,,,,,,
Shattered,,Clean,Clean,N/A,,,,,,,
She Said,,Metal Lords,Metal+Lords,N/A,,,,,,,
Shut In,,Fistful of Vengeance,Fistful+of+Vengeance,N/A,,,,,,,
Significant Other,,Sharp Stick,Sharp+Stick,N/A,,,,,,,
Slumberland,,Cha Cha Real Smooth,Cha+Cha+Real+Smooth,N/A,,,,,,,
Smile,,Don't Make Me Go,Don't+Make+Me+Go,N/A,,,,,,,
Sneakerella,,The Return of Tanya Tucker: Featuring Brandi Carlile,The+Return+of+Tanya+Tucker:+Featuring+Brandi+Carlile,N/A,,,,,,,
Something from Tiffany's,,Women Talking,Women+Talking,N/A,,,,,,,
Something in the Dirt,,The Good Nurse,The+Good+Nurse,N/A,,,,,,,
Sonic the Hedgehog 2,,Gasoline Alley,Gasoline+Alley,N/A,,,,,,,
South Park The Streaming Wars,,Senior Year,Senior+Year,N/A,,,,,,,
South Park The Streaming Wars Part 2,,Significant Other,Significant+Other,N/A,,,,,,,
Spiderhead,,Nanny,Nanny,N/A,,,,,,,
Spin Me Round,,Memory,Memory,N/A,,,,,,,
Spirited,,Scrooge: A Christmas Carol,Scrooge:+A+Christmas+Carol,N/A,,,,,,,
Spoiler Alert,,Darby and the Dead,Darby+and+the+Dead,N/A,,,,,,,
Stars at Noon,,"Confess, Fletch","Confess,+Fletch",N/A,,,,,,,
Strange World,,Operation Mincemeat,Operation+Mincemeat,N/A,,,,,,,
Studio 666,,Hot Take: The Depp/Heard Trial,Hot+Take:+The+Depp/Heard+Trial,N/A,,,,,,,
Summering,,A Christmas Story Christmas,A+Christmas+Story+Christmas,N/A,,,,,,,
Sundown,,Allegoria,Allegoria,N/A,,,,,,,
Tall Girl 2,,God's Creatures,God's+Creatures,N/A,,,,,,,
Tár,,The Silent Twins,The+Silent+Twins,N/A,,,,,,,
Terrifier 2,,7 Days,7+Days,N/A,,,,,,,
Texas Chainsaw Massacre,,The Tiger Rising,The+Tiger+Rising,N/A,,,,,,,
The 355,,Day Shift,Day+Shift,N/A,,,,,,,
The Adam Project,,Moonage Daydream,Moonage+Daydream,N/A,,,,,,,
The Bad Guys,,Holiday Harmony,Holiday+Harmony,N/A,,,,,,,
The Banshees of Inisherin,,Till,Till,N/A,,,,,,,
The Batman,,Dear Zoe,Dear+Zoe,N/A,,,,,,,
The Black Phone,,Marmaduke,Marmaduke,N/A,,,,,,,
The Bob's Burgers Movie,,Shattered,Shattered,N/A,,,,,,,
The Bubble,,Mrs. Harris Goes to Paris,Mrs.+Harris+Goes+to+Paris,N/A,,,,,,,
The Commando,,White Elephant,White+Elephant,N/A,,,,,,,
The Contractor,,On the Come Up,On+the+Come+Up,N/A,,,,,,,
The Curse of Bridge Hollow,,The Curse of Bridge Hollow,The+Curse+of+Bridge+Hollow,N/A,,,,,,,
The Cursed,,The Sky Is Everywhere,The+Sky+Is+Everywhere,N/A,,,,,,,
The Estate,,Deep Water,Deep+Water,N/A,,,,,,,
The Eternal Daughter,,Section Eight,Section+Eight,N/A,,,,,,,
The Fabelmans,,The Good House,The+Good+House,N/A,,,,,,,
The Fallout,,Empire of Light,Empire+of+Light,N/A,,,,,,,
The Forgiven,,My Father's Dragon,My+Father's+Dragon,N/A,,,,,,,
The Good House,,Gigi & Nate,Gigi+&+Nate,N/A,,,,,,,
The Good Nurse,,1Up,1Up,N/A,,,,,,,
The Gray Man,,5000 Blankets,5000+Blankets,N/A,,,,,,,
The Greatest Beer Run Ever,,A Love Song,A+Love+Song,N/A,,,,,,,
The Ice Age Adventures of Buck Wild,,Wrong Place,Wrong+Place,N/A,,,,,,,
The In Between,,The Inspection,The+Inspection,N/A,,,,,,,
The Independent,,Mack & Rita,Mack+&+Rita,N/A,,,,,,,
The Inspection,,Stars at Noon,Stars+at+Noon,N/A,,,,,,,
The Invitation,,Sneakerella,Sneakerella,N/A,,,,,,,
The King's Daughter,,A Chiara,A+Chiara,N/A,,,,,,,
The Legend of La Llorona,,Is That Black Enough for You?!?,Is+That+Black+Enough+for+You?!?,N/A,,,,,,,
The Long Night,,After Yang,After+Yang,N/A,,,,,,,
The Lost City,,The Forgiven,The+Forgiven,N/A,,,,,,,
The Man from Toronto,,The Contractor,The+Contractor,N/A,,,,,,,
The Mean One,,Emergency,Emergency,N/A,,,,,,,
The Menu,,Emancipation,Emancipation,N/A,,,,,,,
The Minute You Wake Up Dead,,Mr. Malcolm's List,Mr.+Malcolm's+List,N/A,,,,,,,
The Munsters,,Titanic 666,Titanic+666,N/A,,,,,,,
The Noel Diary,,Something from Tiffany's,Something+from+Tiffany's,N/A,,,,,,,
The Northman,,Resurrection,Resurrection,N/A,,,,,,,
The Outfit,,Breaking,Breaking,N/A,,,,,,,
The Pale Blue Eye,,Father of the Bride,Father+of+the+Bride,N/A,,,,,,,
The People We Hate at the Wedding,,Orphan: First Kill,Orphan:+First+Kill,N/A,,,,,,,
The Princess,,The Commando,The+Commando,N/A,,,,,,,
The Redeem Team,,Lou,Lou,N/A,,,,,,,
The Return of Tanya Tucker: Featuring Brandi Carlile,,A Hollywood Christmas,A+Hollywood+Christmas,N/A,,,,,,,
The Royal Treatment,,Wire Room,Wire+Room,N/A,,,,,,,
The School for Good and Evil,,The Munsters,The+Munsters,N/A,,,,,,,
The Sea Beast,,Zero Contact,Zero+Contact,N/A,,,,,,,
The Silent Twins,,The Princess,The+Princess,N/A,,,,,,,
The Sky Is Everywhere,,Mr. Harrigan's Phone,Mr.+Harrigan's+Phone,N/A,,,,,,,
The Survivor,,Spoiler Alert,Spoiler+Alert,N/A,,,,,,,
The Tiger Rising,,End of the Road,End+of+the+Road,N/A,,,,,,,
The Unbearable Weight of Massive Talent,,Detective Knight: Redemption,Detective+Knight:+Redemption,N/A,,,,,,,
The Valet,,Wendell & Wild,Wendell+&+Wild,N/A,,,,,,,
The Whale,,Something in the Dirt,Something+in+the+Dirt,N/A,,,,,,,
The Woman King,,Family Camp,Family+Camp,N/A,,,,,,,
The Wonder,,Sundown,Sundown,N/A,,,,,,,
They/Them,,Hotel Transylvania: Transformania,Hotel+Transylvania:+Transformania,N/A,,,,,,,
Thirteen Lives,,All the Old Knives,All+the+Old+Knives,N/A,,,,,,,
Thor: Love and Thunder,,Funny Pages,Funny+Pages,N/A,,,,,,,
Three Thousand Years of Longing,,Redeeming Love,Redeeming+Love,N/A,,,,,,,
Ticket to Paradise,,Summering,Summering,N/A,,,,,,,
Till,,The Mean One,The+Mean+One,N/A,,,,,,,
Titanic 666,,Good Mourning,Good+Mourning,N/A,,,,,,,
Top Gun: Maverick,,Shut In,Shut+In,N/A,,,,,,,
Turning Red,,Crush,Crush,N/A,,,,,,,
Tyson's Run,,Measure of Revenge,Measure+of+Revenge,N/A,,,,,,,
Umma,,Vengeance,Vengeance,N/A,,,,,,,
Uncharted,,Crimes of the Future,Crimes+of+the+Future,N/A,,,,,,,
V/H/S/99,,Luck,Luck,N/A,,,,,,,
Vendetta,,Vendetta,Vendetta,N/A,,,,,,,
Vengeance,,A Fairy Tale After All,A+Fairy+Tale+After+All,N/A,,,,,,,
Violent Night,,The Royal Treatment,The+Royal+Treatment,N/A,,,,,,,
Watcher,,On the Count of Three,On+the+Count+of+Three,N/A,,,,,,,
Weird: The Al Yankovic Story,,Chip 'n Dale: Rescue Rangers,Chip+'n+Dale:+Rescue+Rangers,N/A,,,,,,,
Wendell & Wild,,Windfall,Windfall,N/A,,,,,,,
Where the Crawdads Sing,,The Estate,The+Estate,N/A,,,,,,,
White Elephant,,The Cursed,The+Cursed,N/A,,,,,,,
White Noise,,No Exit,No+Exit,N/A,,,,,,,
Whitney Houston: I Wanna Dance with Somebody,,V/H/S/99,V/H/S/99,N/A,,,,,,,
Wildcat,,Secret Headquarters,Secret+Headquarters,N/A,,,,,,,
Windfall,,Master,Master,N/A,,,,,,,
